title,desc,url,provider,updated,views,useCount,keywords
식품의약품안전처_조리식품의 레시피 DB,"조리식품의 레시피를 이미지와 만드는 방법, 열량과 영양성분에 대한 속성정보를 제공하고 있습니다.",https://www.data.go.kr/data/15060073/openapi.do,식품의약품안전처,2025-08-27,34778,19423,
한국농수산식품유통공사_국내 식품시장규모,연간 국내 식품시장규모 데이터를 제공합니다.,https://www.data.go.kr/data/15109103/openapi.do,한국농수산식품유통공사,2022-12-06,19428,2250,
식품의약품안전처_건강기능식품 기능성 원료인정 현황,식품의약품안전처에서 관리하는 건강기능식품에 관한 법류에 따른 건강기능식품 기능성 원료 인정 현황을 제공합니다.,https://www.data.go.kr/data/15058359/openapi.do,식품의약품안전처,2025-08-26,21409,11344,
식품의약품안전처_건강기능식품 영양DB,"건강기능식품에 쓰이는 원료에 대한 정보 DB로 각 원료의 원료명, 대분류명, 중분류명, 소분류 명 등의 정보를 제공합니다.",https://www.data.go.kr/data/15085712/openapi.do,식품의약품안전처,2025-08-26,20949,7914,
식품의약품안전처_건강기능식품 개별인정형 정보,"건강기능식품의 원료인정번호, 1일 섭취량 상한선, 1일 섭취량 하한선, 중량 단위, 원재료 명, 섭취시 주의 사항 내용, 주된 기능성 등 정보를 제공합니다.",https://www.data.go.kr/data/15074311/openapi.do,식품의약품안전처,2025-08-26,20870,7972,
식품의약품안전처_식품.식품첨가물 생산실적 보고 현황,"식품과 식품첨가물의 생산실적 보고 현황 자료로, 인허가번호 , 업소명 , 주소 , 보고년도 , 품목제조보고번호 , 품목유형 , 품목명 , 연간생산능력(KG), 생산량(KG) 등의 정보를",https://www.data.go.kr/data/15096590/openapi.do,식품의약품안전처,2025-08-27,6390,2127,
식품의약품안전처_식품(첨가물)품목제조보고(원재료),식품의약품안전처에서 제공하는 식품(첨가물)의 품목제조보고 정보(원재료 포함)데이터입니다.,https://www.data.go.kr/data/15062098/openapi.do,식품의약품안전처,2025-08-27,7772,2997,
식품의약품안전처_식품영양성분DB정보,"식품 영양성분 정보에 대한 데이터로 식품명, 식품분류, 식품코드, 영양성분 함량 기준량, 에너지, 탄수화물, 단백질, 지방 등 영양성분 정보, 출처, 1회섭취 참고량, 식품중량, 품목제조보고번호",https://www.data.go.kr/data/15127578/openapi.do,식품의약품안전처,2025-12-05,38750,2634,
식품의약품안전처_식품첨가물공전,식품의약품안전처에서 관리하는 식품위생법에 따른 식품첨가물공전(식품첨가물의 기준 및 규격) 자료입니다.,https://www.data.go.kr/data/15059069/openapi.do,식품의약품안전처,2025-08-27,8496,2224,
식품의약품안전처_건강기능식품 품목분류정보,건강기능식품에 관한 법류에 따른 건강기능식품 제조업에서 만든 건강기능식품 품목분류 정보에 관한 자료입니다.,https://www.data.go.kr/data/15059798/openapi.do,식품의약품안전처,2025-08-26,8040,2930,
