no,koglType,name,desc,menu,restSample,ajaxSample,manual,menuLinks
133,유형3,6차 산업 우수사례 스토리,6차산업 우수사례 스토리 정보를 제공.,-,,http://api.nongsaro.go.kr/sample/ajax/newIndustExcellenceCase/newIndustExcellenceCase.html,https://www.nongsaro.go.kr/portal/apiManual/newIndustExcellenceCase.zip,
132,유형3,6차산업 가공식품 우수경영체 정보,6차산업 가공식품 우수 경영업체에 대한 정보를 제공.,-,,http://api.nongsaro.go.kr/sample/ajax/newIndust100Lst/newIndust100Lst.html,https://www.nongsaro.go.kr/portal/apiManual/newIndust100Lst.zip,
131,유형3,RDA인테러뱅,"RDA인테러뱅 제목, 등록일, 의견수, 조회수, 평점 및 첨부파일 다운 기능을 제공.",RDA인테러뱅,http://api.nongsaro.go.kr/sample/rest/rdaInterrobang/rdaInterrobang.jsp,http://api.nongsaro.go.kr/sample/ajax/rdaInterrobang/rdaInterrobang.html,https://www.nongsaro.go.kr/portal/apiManual/rdaInterrobang.zip,https://nongsaro.go.kr/portal/ps/psv/psvr/psvrc/rdaInterLst.ps?menuId=PS00063
130,유형3,가축분뇨 통합자료 게시판,가축분뇨 통합자료 게시판 정보를 제공.,통합자료,,http://api.nongsaro.go.kr/sample/ajax/muckBulletinBoard/muckBulletinBoard.html,https://www.nongsaro.go.kr/portal/apiManual/muckBulletinBoard.zip,https://nongsaro.go.kr/portal/ps/psz/psza/contentMain.ps?menuId=PS03719&sUpperCode=all
129,유형3,건강안전정보,건강안전정보를 제공.,-,,http://api.nongsaro.go.kr/sample/ajax/healthEduGymMovInfo/healthEduGymMovInfo.html,https://www.nongsaro.go.kr/portal/apiManual/healthEduGymMovInfo.zip,
128,유형3,건조에 강한 실내식물,건조한 환경에서도 잘 자랄 수 있는 건조에 강한 실내식물 정보를 제공.,건조에 강한 실내식물,http://api.nongsaro.go.kr/sample/rest/dryGarden/dryGarden.jsp,http://api.nongsaro.go.kr/sample/ajax/dryGarden/dryGarden.html,https://www.nongsaro.go.kr/portal/apiManual/dryGarden.zip,https://nongsaro.go.kr/portal/ps/psz/psza/contentMain.ps?menuId=PS04099&pageUnit=8
127,유형3,고문헌 검색,곤충관련 고문헌 자료를 제공.,고문헌검색,,http://api.nongsaro.go.kr/sample/ajax/oldDocumentSrch/oldDocumentSrch.html,https://www.nongsaro.go.kr/portal/apiManual/oldDocumentSrch.zip,https://nongsaro.go.kr/portal/ps/psw/pswe/pswea/olltSrchList.ps?menuId=PS03781
126,유형3,고조리서 활용음식,고조리서 활용음식 정보를 제공.,-,,http://api.nongsaro.go.kr/sample/ajax/oldFoodRecipeInfo/oldFoodRecipeInfo.html,https://www.nongsaro.go.kr/portal/apiManual/oldFoodRecipeInfo.zip,
125,유형3,곤충문헌검색,곤충문헌 검색을 제공.,문헌검색,,http://api.nongsaro.go.kr/sample/ajax/ltrtreInfo/ltrtreInfo.html,https://www.nongsaro.go.kr/portal/apiManual/ltrtreInfo.zip,https://nongsaro.go.kr/portal/ps/psw/pswc/ltrtreInfoLst.ps?menuId=PS03769
124,유형3,곤충표본검색,곤충표본정보 검색을 제공.,곤충표본검색,,http://api.nongsaro.go.kr/sample/ajax/insectSampleSrch/insectSampleSrch.html,https://www.nongsaro.go.kr/portal/apiManual/insectSampleSrch.zip,https://nongsaro.go.kr/portal/ps/psw/pswa/pswaa/clgruppSrchLst.ps?menuId=PS03766&sortField=NCK_NM&sortOrder=ASC
123,유형1,곤충표본관 FAQ,곤충표본관 FAQ 정보를 제공.,FAQ,,http://api.nongsaro.go.kr/sample/ajax/insectFaq/insectFaq.html,https://www.nongsaro.go.kr/portal/apiManual/insectFaq.zip,https://nongsaro.go.kr/portal/ps/psz/psza/contentMain.ps?menuId=PS03780&bbsId=24
122,유형1,곤충표본관 공통코드,곤충표본관련 코드정보를 제공.,-,,http://api.nongsaro.go.kr/sample/ajax/insectSampleCommonCode/insectSampleCommonCode.html,https://www.nongsaro.go.kr/portal/apiManual/insectSampleCommonCode.zip,
121,유형3,곤충표본관 설문조사,곤충표본관 설문조사 정보를 제공.,-,,http://api.nongsaro.go.kr/sample/ajax/insectSampleSurvey/insectSampleSurvey.html,https://www.nongsaro.go.kr/portal/apiManual/insectSampleSurvey.zip,
120,유형3,곤충형태용어사전,곤충 형태용어사전 정보를 제공.,형태용어사전,,http://api.nongsaro.go.kr/sample/ajax/stleWordDic/stleWordDic.html,https://www.nongsaro.go.kr/portal/apiManual/stleWordDic.zip,https://nongsaro.go.kr/portal/ps/psw/pswb/pswbc/stleWordDicLst.ps?menuId=PS03280
119,유형1,공공 데이터,농사로에서 제공하는 OPEN-API 정보를 제공.,공공데이터,,http://api.nongsaro.go.kr/sample/ajax/openApiData/openApiData.html,https://www.nongsaro.go.kr/portal/apiManual/openApiData.zip,https://nongsaro.go.kr/portal/ps/psn/psnj/openApiLst.ps?menuId=PS65428
118,유형1,과수 생산단지,2006년~2014년 단계별 과수 생산단지 정보를 제공.,-,,http://api.nongsaro.go.kr/sample/ajax/fruitGrowingArea/fruitGrowingArea.html,https://www.nongsaro.go.kr/portal/apiManual/fruitGrowingArea.zip,
117,유형1,관련 사이트 정보,관련 사이트 정보를 제공.,관련사이트,,http://api.nongsaro.go.kr/sample/ajax/relatedSite/relatedSite.html,https://www.nongsaro.go.kr/portal/apiManual/relatedSite.zip,https://nongsaro.go.kr/portal/ps/psz/psza/contentMain.ps?menuId=PS02466&pageUnit=99
116,유형1,교구와 매뉴얼,교구와 매뉴얼 정보와 첨부파일을 제공.,교구와 매뉴얼,,http://api.nongsaro.go.kr/sample/ajax/tchaidMnl/tchaidMnl.html,https://www.nongsaro.go.kr/portal/apiManual/tchaidMnl.zip,https://nongsaro.go.kr/portal/ps/psz/psza/contentMain.ps?menuId=PS04210
115,유형1,교통표지,교통표지 정보를 제공.,도로에서의 안전운행 방법,,http://api.nongsaro.go.kr/sample/ajax/trafficSign/trafficSign.html,https://www.nongsaro.go.kr/portal/apiManual/trafficSign.zip,https://nongsaro.go.kr/portal/ps/psz/psza/contentMain.ps?menuId=PS00249&subTabMenu=PS00463
114,유형3,국내외최신연구동향,국내외최신연구동향 정보와 첨부파일을 제공.,-,,http://api.nongsaro.go.kr/sample/ajax/exportZoomIn/exportZoomIn.html,https://www.nongsaro.go.kr/portal/apiManual/exportZoomIn.zip,
113,유형3,꽃장식과 정원 꾸미기,꽃장식과 정원 꾸미기 정보를 제공.,실내정원 꾸미기,,http://api.nongsaro.go.kr/sample/ajax/flwrDecor/flwrDecor.html,https://www.nongsaro.go.kr/portal/apiManual/flwrDecor.zip,https://nongsaro.go.kr/portal/ps/psz/psza/contentMain.ps?menuId=PS03163
112,유형3,내재해형 시설규격,내재해형 시설규격,내재해형 시설규격,,http://api.nongsaro.go.kr/sample/ajax/fcltyStdDsgndo/fcltyStdDsgndo.html,https://www.nongsaro.go.kr/portal/apiManual/fcltyStdDsgndo.zip,https://nongsaro.go.kr/portal/ps/psz/psza/contentMain.ps?menuId=PS65445
111,유형2,농(農)영상 1분,농(農)영상 1분 동영상을 제공,-,,http://api.nongsaro.go.kr/sample/ajax/shortMvp/shortMvp.html,https://www.nongsaro.go.kr/portal/apiManual/shortMvp.zip,
110,유형3,농가맛집 정보,"전국의 농가맛집의 메뉴, 체험프로그램, 주변 관광/볼거리 정보 등을 제공.",농가맛집,http://api.nongsaro.go.kr/sample/rest/frmhsTasteHos/frmhsTasteHos.jsp,http://api.nongsaro.go.kr/sample/ajax/frmhsTasteHos/frmhsTasteHos.html,https://www.nongsaro.go.kr/portal/apiManual/frmhsTasteHos.zip,https://nongsaro.go.kr/portal/ps/psz/psza/contentMain.ps?menuId=PS03968&pageUnit=8
109,유형3,농기계 구입정보,농기계의사결정을 위한 상세정보를 제공.,부담면적/손익분기,,http://api.nongsaro.go.kr/sample/ajax/farmMachineDecision/farmMachineDecision.html,https://www.nongsaro.go.kr/portal/apiManual/farmMachineDecision.zip,https://nongsaro.go.kr/portal/ps/pse/psea/frcnBndarLst.ps?menuId=PS00237
108,유형3,농기계 시청각자료,농기계 시청각자료 정보를 제공.,시청각자료,,http://api.nongsaro.go.kr/sample/ajax/machineVod/machineVod.html,https://www.nongsaro.go.kr/portal/apiManual/machineVod.zip,https://nongsaro.go.kr/portal/ps/psz/psza/contentMain.ps?menuId=PS00253&sCntntsTyCode=093001&tabAt=ANI
107,유형3,농기계 안전용품,농기계 안전용품의 정보를 제공.,-,,http://api.nongsaro.go.kr/sample/ajax/farmSafeGoods/farmSafeGoods.html,https://www.nongsaro.go.kr/portal/apiManual/farmSafeGoods.zip,
106,유형3,농기계 안전이용 지침,농기계 안전이용 지침 정보를 제공.,농작업안전일반사항,,http://api.nongsaro.go.kr/sample/ajax/machineSafety/machineSafety.html,https://www.nongsaro.go.kr/portal/apiManual/machineSafety.zip,https://nongsaro.go.kr/portal/ps/pse/psei/machineSafetyLst.ps?menuId=PS00247&subMenuId=PS00457&tabMenuNo=PS02236
105,유형1,농사로 공통코드,농사로 공통코드 정보를 제공.,-,,http://api.nongsaro.go.kr/sample/ajax/commonCode/commonCode.html,https://www.nongsaro.go.kr/portal/apiManual/commonCode.zip,
104,유형1,농사로 이벤트,농사로이벤트 내용을 제공.,이벤트/설문,,http://api.nongsaro.go.kr/sample/ajax/nongsaroEvent/nongsaroEvent.html,https://www.nongsaro.go.kr/portal/apiManual/nongsaroEvent.zip,https://nongsaro.go.kr/portal/ps/psx/psxn/eventSurveyMain.ps?menuId=PS65355&pageUnit=12
103,유형3,농식품부산물영양정보,농식품부산물영양정보,농식품부산물영양정보,,http://api.nongsaro.go.kr/sample/ajax/foodbyprdNtrinfo/foodbyprdNtrinfo.html,https://www.nongsaro.go.kr/portal/apiManual/foodbyprdNtrinfo.zip,https://nongsaro.go.kr/portal/ps/psz/psza/feedContentMain.ps?menuId=PS04202
102,유형3,농약 품질검사,농약 품질검사,품질검사,,http://api.nongsaro.go.kr/sample/ajax/agchmQltinsp/agchmQltinsp.html,https://www.nongsaro.go.kr/portal/apiManual/agchmQltinsp.zip,https://nongsaro.go.kr/portal/ps/psz/psza/contentMain.ps?menuId=PS04030&bbsId=28
101,유형3,농약등록현황,농약등록현황 정보를 제공.,-,,http://api.nongsaro.go.kr/sample/ajax/pesticideRegStatus/pesticideRegStatus.html,https://www.nongsaro.go.kr/portal/apiManual/pesticideRegStatus.zip,
100,유형3,농약안전사용지침,"국가, 작목 별 농약안전사용지침 정보와 첨부파일을 제공.",농약안전사용지침,http://api.nongsaro.go.kr/sample/rest/agchmSafeManual/agchmSafeManual.jsp,http://api.nongsaro.go.kr/sample/ajax/agchmSafeManual/agchmSafeManual.html,https://www.nongsaro.go.kr/portal/apiManual/agchmSafeManual.zip,https://nongsaro.go.kr/portal/ps/psy/psya/agchmSafeUseManualLst.ps?menuId=PS65543
99,유형1,농약판매가격,농약 판매가격 정보를 제공.,-,,http://api.nongsaro.go.kr/sample/ajax/pesticideSalePrice/pesticideSalePrice.html,https://www.nongsaro.go.kr/portal/apiManual/pesticideSalePrice.zip,
