service,operation,sampleEndpoint,desc,page
스마트팜 빅데이터 제공서비스,아이덴티티 정보,http://www.smartfarmkorea.net/Agree_WS/webservices/ProvideRestService/getIdentityDataList/{serviceKey},시설원예 환경/제어/생육/경영 실시간 수집데이터 - 아이덴티티 정보,https://www.smartfarmkorea.net/openApi/openApiList.do?menuId=M11040301
스마트팜 빅데이터 제공서비스,작기 정보,http://www.smartfarmkorea.net/Agree_WS/webservices/ProvideRestService/getCroppingSeasonDataList/{serviceKey}/{userId},시설원예 환경/제어/생육/경영 실시간 수집데이터 - 작기 정보,https://www.smartfarmkorea.net/openApi/openApiList.do?menuId=M11040301
스마트팜 빅데이터 제공서비스,환경 정보,http://www.smartfarmkorea.net/Agree_WS/webservices/ProvideRestService/getEnvDataList/{serviceKey}/{facilityId}/{measDate}/{fldCode}/{sectCode}/{fatrCode}/{itemCode},시설원예 환경/제어/생육/경영 실시간 수집데이터 - 환경 정보,https://www.smartfarmkorea.net/openApi/openApiList.do?menuId=M11040301
스마트팜 빅데이터 제공서비스,생육 정보(딸기),http://www.smartfarmkorea.net/Agree_WS/webservices/ProvideRestService/getStrbCultivateDataList/{serviceKey}/{userId}/{croppingSerlNo}/{startDate}/{endDate},시설원예 환경/제어/생육/경영 실시간 수집데이터 - 생육 정보(딸기),https://www.smartfarmkorea.net/openApi/openApiList.do?menuId=M11040301
스마트팜 빅데이터 제공서비스,생육정보(국화),http://www.smartfarmkorea.net/Agree_WS/webservices/ProvideRestService/getMumCultivateDataList/{serviceKey}/{userId}/{croppingSerlNo}/{startDate}/{endDate},시설원예 환경/제어/생육/경영 실시간 수집데이터 - 생육정보(국화),https://www.smartfarmkorea.net/openApi/openApiList.do?menuId=M11040301
스마트팜 빅데이터 제공서비스,생육 정보(참외),http://www.smartfarmkorea.net/Agree_WS/webservices/ProvideRestService/getFruitCultivateDataList/{serviceKey}/{userId}/{croppingSerlNo}/{startDate}/{endDate},시설원예 환경/제어/생육/경영 실시간 수집데이터 - 생육 정보(참외),https://www.smartfarmkorea.net/openApi/openApiList.do?menuId=M11040301
스마트팜 빅데이터 제공서비스,생육정보(그외),http://www.smartfarmkorea.net/Agree_WS/webservices/ProvideRestService/getCultivateDataList/{serviceKey}/{userId}/{croppingSerlNo}/{startDate}/{endDate},시설원예 환경/제어/생육/경영 실시간 수집데이터 - 생육정보(그외),https://www.smartfarmkorea.net/openApi/openApiList.do?menuId=M11040301
스마트팜 빅데이터 제공서비스,농가별 작기 정보,http://www.smartfarmkorea.net/Agree_WS/webservices/CropseasonRestService/getCroppingSeasonDataList/{serviceKey}/{year},시설원예 환경/제어/생육/경영 실시간 수집데이터 - 농가별 작기 정보,https://www.smartfarmkorea.net/openApi/openApiList.do?menuId=M11040301
스마트팜 빅데이터 제공서비스,작기별 환경 정보,http://www.smartfarmkorea.net/Agree_WS/webservices/CropseasonRestService/getCroppingSeasonEnvDataList/{serviceKey}/{croppingSerlNo}/{pageNum},시설원예 환경/제어/생육/경영 실시간 수집데이터 - 작기별 환경 정보,https://www.smartfarmkorea.net/openApi/openApiList.do?menuId=M11040301
스마트팜 빅데이터 제공서비스,작기별 제어 정보,http://www.smartfarmkorea.net/Agree_WS/webservices/CropseasonRestService/getCroppingSeasonManlDataList/{serviceKey}/{croppingSerlNo}/{pageNum},시설원예 환경/제어/생육/경영 실시간 수집데이터 - 작기별 제어 정보,https://www.smartfarmkorea.net/openApi/openApiList.do?menuId=M11040301
스마트팜 빅데이터 제공서비스,작기별 생육 정보,http://www.smartfarmkorea.net/Agree_WS/webservices/CropseasonRestService/getCultivateDataList/{serviceKey}/{croppingSerlNo},시설원예 환경/제어/생육/경영 실시간 수집데이터 - 작기별 생육 정보,https://www.smartfarmkorea.net/openApi/openApiList.do?menuId=M11040301
품목별 데이터셋 제공서비스,농가 정보,http://www.smartfarmkorea.net/Agree_WS/webservices/DataMartItemRestService/getFcltyInfoDataList/{serviceKey},"시설원예 데이터마트 개방데이터, 농가 품목 기준 조회 - 농가 정보",https://www.smartfarmkorea.net/openApi/openApiList.do?menuId=M1104030104
품목별 데이터셋 제공서비스,작기 정보,http://www.smartfarmkorea.net/Agree_WS/webservices/DataMartItemRestService/getFcltyDateInfoDataList/{serviceKey}/{fcltyId},"시설원예 데이터마트 개방데이터, 농가 품목 기준 조회 - 작기 정보",https://www.smartfarmkorea.net/openApi/openApiList.do?menuId=M1104030104
품목별 데이터셋 제공서비스,환경 정보,http://www.smartfarmkorea.net/Agree_WS/webservices/DataMartItemRestService/getEnvInfoDataList/{serviceKey}/{fcltyId}/{crpsnSn}/{itemCode}/{fixPlntngDe}/{crpsnEndDe},"시설원예 데이터마트 개방데이터, 농가 품목 기준 조회 - 환경 정보",https://www.smartfarmkorea.net/openApi/openApiList.do?menuId=M1104030104
품목별 데이터셋 제공서비스,제어 정보,http://www.smartfarmkorea.net/Agree_WS/webservices/DataMartItemRestService/getContInfoDataList/{serviceKey}/{fcltyId}/{crpsnSn}/{itemCode}/{fixPlntngDe}/{crpsnEndDe},"시설원예 데이터마트 개방데이터, 농가 품목 기준 조회 - 제어 정보",https://www.smartfarmkorea.net/openApi/openApiList.do?menuId=M1104030104
품목별 데이터셋 제공서비스,생육 정보,http://www.smartfarmkorea.net/Agree_WS/webservices/DataMartItemRestService/getExaminInfoDataList/{serviceKey}/{fcltyId}/{crpsnSn}/{fixPlntngDe}/{crpsnEndDe},"시설원예 데이터마트 개방데이터, 농가 품목 기준 조회 - 생육 정보",https://www.smartfarmkorea.net/openApi/openApiList.do?menuId=M1104030104
품목별 데이터셋 제공서비스,생육조사 표본사진 정보,http://www.smartfarmkorea.net/Agree_WS/webservices/DataMartItemRestService/getExaminSpotImgDataList/{serviceKey}/{fcltyId}/{crpsnSn}/{examinMastrSn},"시설원예 데이터마트 개방데이터, 농가 품목 기준 조회 - 생육조사 표본사진 정보",https://www.smartfarmkorea.net/openApi/openApiList.do?menuId=M1104030104
품목별 데이터셋 제공서비스,온라인 컨설팅 결과보고서 정보,http://www.smartfarmkorea.net/Agree_WS/webservices/DataMartItemRestService/getOnlineCnslResultDataList/{serviceKey}/{fcltyId}/{crpsnSn}/{examinMastrSn},"시설원예 데이터마트 개방데이터, 농가 품목 기준 조회 - 온라인 컨설팅 결과보고서 정보",https://www.smartfarmkorea.net/openApi/openApiList.do?menuId=M1104030104
품목별 데이터셋 제공서비스,경영 정보(생산량),http://www.smartfarmkorea.net/Agree_WS/webservices/DataMartItemRestService/getMngtOutputDataList/{serviceKey}/{fcltyId}/{crpsnSn}/{fixPlntngDe}/{crpsnEndDe},"시설원예 데이터마트 개방데이터, 농가 품목 기준 조회 - 경영 정보(생산량)",https://www.smartfarmkorea.net/openApi/openApiList.do?menuId=M1104030104
품목별 데이터셋 제공서비스,경영 정보(생산비),http://www.smartfarmkorea.net/Agree_WS/webservices/DataMartItemRestService/getMngtCostDataList/{serviceKey}/{fcltyId}/{crpsnSn}/{fixPlntngDe}/{crpsnEndDe},"시설원예 데이터마트 개방데이터, 농가 품목 기준 조회 - 경영 정보(생산비)",https://www.smartfarmkorea.net/openApi/openApiList.do?menuId=M1104030104
작기별 데이터셋 제공서비스,농가 정보,http://www.smartfarmkorea.net/Agree_WS/webservices/DataMartYearRestService/getFcltyInfoDataList/{serviceKey},"시설원예 데이터마트 개방데이터, 농가 작기 기준 조회 - 농가 정보",https://www.smartfarmkorea.net/openApi/openApiList.do?menuId=M1104030105
작기별 데이터셋 제공서비스,작기 정보,http://www.smartfarmkorea.net/Agree_WS/webservices/DataMartYearRestService/getFcltyDateInfoData/{serviceKey}/{fcltyId}/{fcltyYear},"시설원예 데이터마트 개방데이터, 농가 작기 기준 조회 - 작기 정보",https://www.smartfarmkorea.net/openApi/openApiList.do?menuId=M1104030105
